Club,Game Played,W,D,L,+/-,Year,Pts,Pts Diff,Goal For,GF Diff,Goal Against,GA Diff
Arsenal,38,28,5,5,62,2023,89,5.0,91,3.0,29,-14.0
Arsenal,38,26,6,6,45,2022,84,15.0,88,27.0,43,-5.0
Arsenal,38,22,3,13,13,2021,69,8.0,61,6.0,48,9.0
Arsenal,38,18,7,13,16,2020,61,5.0,55,-1.0,39,-9.0
Arsenal,38,14,14,10,8,2019,56,-14.0,56,-17.0,48,-3.0
Arsenal,38,21,7,10,22,2018,70,7.0,73,-1.0,51,-0.0
Arsenal,38,19,6,13,23,2017,63,-12.0,74,-3.0,51,7.0
Arsenal,38,23,6,9,33,2016,75,4.0,77,12.0,44,8.0
Arsenal,38,20,11,7,29,2015,71,-4.0,65,-6.0,36,-0.0
Arsenal,38,22,9,7,35,2014,75,-4.0,71,3.0,36,-5.0
Arsenal,38,24,7,7,27,2013,79,6.0,68,-4.0,41,4.0
Arsenal,38,21,10,7,35,2012,73,3.0,72,-2.0,37,-12.0
Arsenal,38,21,7,10,25,2011,70,2.0,74,2.0,49,6.0
Arsenal,38,19,11,8,29,2010,68,-7.0,72,-11.0,43,2.0
Arsenal,38,23,6,9,42,2009,75,3.0,83,15.0,41,4.0
Arsenal,38,20,12,6,31,2008,72,-11.0,68,-6.0,37,6.0
Arsenal,38,24,11,3,43,2007,83,15.0,74,11.0,31,-4.0
Arsenal,38,19,11,8,28,2006,68,1.0,63,-5.0,35,4.0
Arsenal,38,20,7,11,37,2005,67,-16.0,68,-19.0,31,-5.0
Arsenal,38,25,8,5,51,2004,83,-7.0,87,14.0,36,10.0
Arsenal,38,26,12,0,47,2003,90,12.0,73,-12.0,26,-16.0
Arsenal,38,23,9,6,43,2002,78,-9.0,85,6.0,42,6.0
Arsenal,38,26,9,3,43,2001,87,17.0,79,16.0,36,-2.0
Arsenal,38,20,10,8,25,2000,70,-3.0,63,-10.0,38,-5.0
Arsenal,38,22,7,9,30,1999,73,-5.0,73,14.0,43,26.0
Arsenal,38,22,12,4,42,1998,78,-0.0,59,-9.0,17,-16.0
Arsenal,38,23,9,6,35,1997,78,10.0,68,6.0,33,1.0
Arsenal,38,19,11,8,30,1996,68,5.0,62,13.0,32,-0.0
Arsenal,38,17,12,9,17,1995,63,12.0,49,-3.0,32,-17.0
Arsenal,42,13,12,17,3,1994,51,-20.0,52,-1.0,49,21.0
Arsenal,42,18,17,7,25,1993,71,,53,,28,
Aston Villa,38,20,8,10,15,2023,68,7.0,76,25.0,61,15.0
Aston Villa,38,18,7,13,5,2022,61,16.0,51,-1.0,46,-8.0
Aston Villa,38,13,6,19,-2,2021,45,-10.0,52,-3.0,54,8.0
Aston Villa,38,16,7,15,9,2020,55,20.0,55,14.0,46,-21.0
Aston Villa,38,9,8,21,-26,2019,35,,41,14.0,67,-9.0
Aston Villa,38,3,8,27,-49,2015,17,-21.0,27,-4.0,76,19.0
Aston Villa,38,10,8,20,-26,2014,38,-0.0,31,-8.0,57,-4.0
Aston Villa,38,10,8,20,-22,2013,38,-3.0,39,-8.0,61,-8.0
Aston Villa,38,10,11,17,-22,2012,41,3.0,47,10.0,69,16.0
Aston Villa,38,7,17,14,-16,2011,38,-10.0,37,-11.0,53,-6.0
Aston Villa,38,12,12,14,-11,2010,48,-16.0,48,-4.0,59,20.0
Aston Villa,38,17,13,8,13,2009,64,2.0,52,-2.0,39,-9.0
Aston Villa,38,17,11,10,6,2008,62,2.0,54,-17.0,48,-3.0
Aston Villa,38,16,12,10,20,2007,60,10.0,71,28.0,51,10.0
Aston Villa,38,11,17,10,2,2006,50,8.0,43,1.0,41,-14.0
Aston Villa,38,10,12,16,-13,2005,42,-5.0,42,-3.0,55,3.0
Aston Villa,38,12,11,15,-7,2004,47,-9.0,45,-3.0,52,8.0
Aston Villa,38,15,11,12,4,2003,56,11.0,48,6.0,44,-3.0
Aston Villa,38,12,9,17,-5,2002,45,-5.0,42,-4.0,47,-0.0
Aston Villa,38,12,14,12,-1,2001,50,-4.0,46,-0.0,47,4.0
Aston Villa,38,13,15,10,3,2000,54,-4.0,46,-0.0,43,8.0
Aston Villa,38,15,13,10,11,1999,58,3.0,46,-5.0,35,-11.0
Aston Villa,38,15,10,13,5,1998,55,-2.0,51,2.0,46,-2.0
Aston Villa,38,17,6,15,1,1997,57,-4.0,49,2.0,48,14.0
Aston Villa,38,17,10,11,13,1996,61,-2.0,47,-5.0,34,-1.0
Aston Villa,38,18,9,11,17,1995,63,15.0,52,1.0,35,-21.0
Aston Villa,42,11,15,16,-5,1994,48,-9.0,51,5.0,56,6.0
Aston Villa,42,15,12,15,-4,1993,57,,46,,50,
Barnsley,38,10,5,23,-45,1997,35,,37,,82,
Birmingham,38,8,15,15,-21,2010,39,-11.0,37,-1.0,58,11.0
Birmingham,38,13,11,14,-9,2009,50,,38,-8.0,47,-15.0
Birmingham,38,8,11,19,-16,2007,35,,46,18.0,62,12.0
Birmingham,38,8,10,20,-22,2005,34,-11.0,28,-12.0,50,4.0
Birmingham,38,11,12,15,-6,2004,45,-5.0,40,-3.0,46,-2.0
Birmingham,38,12,14,12,-5,2003,50,2.0,43,2.0,48,-1.0
Birmingham,38,13,9,16,-8,2002,48,,41,,49,
Blackburn,38,8,7,23,-30,2011,31,-12.0,48,2.0,78,19.0
Blackburn,38,11,10,17,-13,2010,43,-7.0,46,5.0,59,4.0
Blackburn,38,13,11,14,-14,2009,50,9.0,41,1.0,55,-5.0
Blackburn,38,10,11,17,-20,2008,41,-17.0,40,-10.0,60,12.0
Blackburn,38,15,13,10,2,2007,58,6.0,50,-2.0,48,-6.0
Blackburn,38,15,7,16,-2,2006,52,-11.0,52,1.0,54,12.0
Blackburn,38,19,6,13,9,2005,63,21.0,51,19.0,42,-1.0
Blackburn,38,9,15,14,-11,2004,42,-2.0,32,-19.0,43,-16.0
Blackburn,38,12,8,18,-8,2003,44,-16.0,51,-1.0,59,16.0
Blackburn,38,16,12,10,9,2002,60,14.0,52,-3.0,43,-8.0
Blackburn,38,12,10,16,4,2001,46,,55,17.0,51,-1.0
Blackburn,38,7,14,17,-14,1998,35,-23.0,38,-19.0,52,-0.0
Blackburn,38,16,10,12,5,1997,58,16.0,57,15.0,52,9.0
Blackburn,38,9,15,14,-1,1996,42,-19.0,42,-19.0,43,-4.0
Blackburn,38,18,7,13,14,1995,61,-28.0,61,-19.0,47,8.0
Blackburn,42,27,8,7,41,1994,89,5.0,80,17.0,39,3.0
Blackburn,42,25,9,8,27,1993,84,,63,,36,
Blackpool,38,10,9,19,-23,2010,39,,55,,78,
Bolton,38,10,6,22,-31,2011,36,-10.0,46,-6.0,77,21.0
Bolton,38,12,10,16,-4,2010,46,7.0,52,10.0,56,-11.0
Bolton,38,10,9,19,-25,2009,39,-2.0,42,1.0,67,14.0
Bolton,38,11,8,19,-12,2008,41,4.0,41,5.0,53,-1.0
Bolton,38,9,10,19,-18,2007,37,-19.0,36,-11.0,54,2.0
Bolton,38,16,8,14,-5,2006,56,-0.0,47,-2.0,52,11.0
Bolton,38,15,11,12,8,2005,56,-2.0,49,-0.0,41,-3.0
Bolton,38,16,10,12,5,2004,58,5.0,49,1.0,44,-12.0
Bolton,38,14,11,13,-8,2003,53,9.0,48,7.0,56,5.0
Bolton,38,10,14,14,-10,2002,44,4.0,41,-3.0,51,-11.0
Bolton,38,9,13,16,-18,2001,40,,44,3.0,62,1.0
Bolton,38,9,13,16,-20,1997,40,,41,2.0,61,-10.0
Bolton,38,8,5,25,-32,1995,29,,39,,71,
Bournemouth,38,13,9,16,-13,2023,48,9.0,54,17.0,67,-4.0
Bournemouth,38,11,6,21,-34,2022,39,,37,-3.0,71,6.0
Bournemouth,38,9,7,22,-25,2019,34,-11.0,40,-16.0,65,-5.0
Bournemouth,38,13,6,19,-14,2018,45,1.0,56,11.0,70,9.0
Bournemouth,38,11,11,16,-16,2017,44,-2.0,45,-10.0,61,-6.0
Bournemouth,38,12,10,16,-12,2016,46,4.0,55,10.0,67,-0.0
Bournemouth,38,11,9,18,-22,2015,42,,45,,67,
Bradford,38,5,11,22,-40,2000,26,-10.0,30,-8.0,70,2.0
Bradford,38,9,9,20,-30,1999,36,,38,,68,
Brentford,38,10,9,19,-9,2023,39,-20.0,56,-2.0,65,19.0
Brentford,38,15,14,9,12,2022,59,13.0,58,10.0,46,-10.0
Brentford,38,13,7,18,-8,2021,46,,48,,56,
Brighton,38,12,12,14,-7,2023,48,-14.0,55,-17.0,62,9.0
Brighton,38,18,8,12,19,2022,62,11.0,72,30.0,53,9.0
Brighton,38,12,15,11,-2,2021,51,10.0,42,2.0,44,-2.0
Brighton,38,9,14,15,-6,2020,41,-0.0,40,1.0,46,-8.0
Brighton,38,9,14,15,-15,2019,41,5.0,39,4.0,54,-6.0
Brighton,38,9,9,20,-25,2018,36,-4.0,35,1.0,60,6.0
